,Unnamed: 0,class,tweet
56,56,1,"['steal', 'cat', 'n', 'replace', 'bitch']"
57,57,1,"['gone', 'always']"
58,58,1,"['bitch', 'took', 'tic', 'like']"
59,59,1,"['get', 'money', 'model']"
60,60,1,"['probably', 'mind', 'school', 'much', 'deal', 'bitch', 'ass']"
61,61,1,['fag']
62,62,1,"['think', 'dating', 'pussy', 'cute', 'stuff', 'make']"
63,63,2,"['woof', 'woof', 'hot', 'lad']"
64,64,1,"['ya', 'ever', 'bitch', 'yes']"
65,65,1,"['u', 'gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya']"
66,66,2,"['woof', 'woof', 'hot', 'soles']"
67,67,2,"['eat', 'one']"
68,68,1,"['bitch', 'u', 'maybe', 'get']"
69,69,1,"['red', 'man', 'bitch', 'ass', 'could', 'please', 'use', 'complete']"
70,70,2,"['eggplant', 'say', 'like', 'scream']"
71,71,1,"['venom', 'one', 'sexy', 'bitch']"
72,72,1,"['pussy', 'wetter', 'shower']"
73,73,1,"['every', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist']"
74,74,1,"['yo', 'wood', 'pushing', 'ball', 'life']"
75,75,2,"['baby', 'monkey']"
76,76,1,"['damn', 'skippy']"
77,77,1,"['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'way', 'get', 'must', 'b']"
78,78,1,[]
79,79,1,"['talk', 'bad', 'growing']"
80,80,1,"['pussy', 'tattooing']"
81,81,1,"['wanting', 'act', 'like', 'bad', 'aint', 'act', 'like']"
82,82,1,"['get', 'woof', 'woof']"
83,83,1,"['yeah', 'hoe']"
84,84,1,"['rather', 'broke', 'tell', 'works']"
85,85,0,[]
86,86,1,"['read', 'even', 'funny']"
87,87,1,"['bitch', 'ungrateful']"
88,88,1,['yo']
89,89,0,['tell']
90,90,1,"['happy', 'birthday', 'thanks', 'yo']"
91,91,1,"['ur', 'teacher', 'u', 'u', 'homework', 'bitch', 'need']"
92,92,1,"['eating', 'hoe', 'hell', 'yea', 'said']"
93,93,1,"['would', 'ugly', 'bald', 'headed', 'stop', 'making']"
94,94,1,"['better', 'win', 'damn', 'game', 'go', 'riot', 'better', 'start', 'nig']"
95,95,1,"['going', 'back', 'school', 'dick', 'attend']"
96,96,1,"['way', 'yo', 'bitch', 'year', 'old']"
97,97,1,"['come', 'never', 'bring', 'dont', 'car', 'retard']"
98,98,1,"['show', 'tinder', 'friend', 'chill', 'brought', 'like', 'like']"
99,99,1,"['bout', 'pussy']"
100,100,1,"['want', 'depressing']"
101,101,1,"['girl', 'know', 'spitting', 'g', 'going']"
102,102,1,"['let', 'make', 'couple', 'get', 'twitter', 'bitch', 'trick']"
103,103,1,"['shake', 'excuse', 'go', 'full', 'retard']"
104,104,1,"['amen', 'need', 'act', 'like', 'hoe']"
105,105,1,"['one', 'loyal', 'female', 'better']"
106,106,1,"['pussy', 'licking']"
107,107,1,"['check', 'even']"
108,108,1,"['happen', 'vixen', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']"
109,109,1,"['bitch', 'pat', 'wow']"
110,110,0,"['holding', 'anyway']"
111,111,1,"['wrong', 'nobody']"
112,112,1,"['shut', 'make', 'bitch']"
113,113,1,"['hate', 'type']"
114,114,1,"['got', 'ever', 'top']"
115,115,2,"['baseball', 'season', 'love']"
116,116,1,"['little', 'stupid', 'bitch']"
117,117,1,"['really', 'dead', 'ass', 'serious', 'could', 'say']"
118,118,2,"['early', 'bird', 'night', 'wise']"
119,119,2,"['heavy', 'sound', 'bad', 'pussy', 'every']"
120,120,2,"['pit', 'lovely', 'fairy', 'tale', 'fairy', 'tale']"
121,121,1,['tweet']
122,122,2,"['long', 'trash', 'could']"
123,123,1,"['say', 'anything', 'kiss']"
124,124,2,"['play', 'cheat', 'wear', 'khaki', 'haircut']"
125,125,1,"['could', 'go', 'fat', 'ass', 'bitch']"
126,126,1,"['yo', 'bitch', 'twitter']"
127,127,1,"['ya', 'side', 'bitch', 'know', 'ask', 'cousin', 'jersey', 'bout']"
128,128,1,['yeah']
129,129,1,"['thinking', 'meat', 'slap', 'ass']"
130,130,1,"['wit', 'talking']"
131,131,1,"['still', 'going', 'trick', 'treating', 'year', 'yeah', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'n']"
132,132,1,"['sex', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like']"
133,133,1,"['kiss', 'u', 'open', 'watch']"
134,134,1,"['ass', 'hoe']"
135,135,1,"['happy', 'bitch', 'ass', 'bitch', 'roll']"
136,136,1,"['used', 'send', 'bitch']"
137,137,1,"['ugly', 'like', 'bitch', 'nobody']"
138,138,1,"['know', 'hacky', 'sack', 'throw', 'look']"
139,139,1,"['glad', 'getting', 'nothing', 'bunch', 'jail', 'dumb', 'mad']"
140,140,2,['smart']
141,141,1,"['would', 'wife', 'hoe', 'care', 'cheating', 'force', 'relationship', 'first']"
142,142,1,"['single', 'excuse']"
143,143,1,"['white', 'boy', 'power', 'black', 'power', 'bitch']"
144,144,1,"['get', 'get', 'spit', 'spark', 'white']"
145,145,1,"['bitch', 'u', 'around', 'world']"
146,146,1,"['get', 'dick', 'yo', 'party', 'bad', 'bitch', 'gone', 'set']"
147,147,1,['probably']
148,148,1,"['every', 'cartoon', 'alway', 'saving', 'damn', 'captain']"
149,149,2,"['get', 'nose', 'bad', 'hot']"
150,150,1,"['wish', 'bitch', 'like', 'brother', 'bet']"
151,151,1,"['dressed', 'cat', 'pussy']"
152,152,1,"['get', 'gaming', 'stream', 'feature', 'dumb', 'get']"
153,153,1,"['stop', 'choke', 'sex', 'u', 'bitch', 'ass', 'like', 'guy']"
154,154,1,"['ha', 'well', 'make', 'loyal', 'theyll', 'never', 'loyal', 'nig']"
155,155,1,"['oh', 'ho', 'ya', 'seed']"
156,156,1,"['man', 'refer', 'every', 'girl']"
157,157,1,"['cat', 'beating', 'finally', 'got']"
158,158,2,"['peel', 'peel', 'bring', 'back', 'rewind', 'back', 'move', 'said']"
159,159,1,"['io', 'io', 'record', 'ho', 'vine', 'sai']"
160,160,1,"['naw', 'old', 'new', 'cover', 'upcoming', 'yeah', 'waiting', 'hoe']"
161,161,1,"['dirty', 'foot', 'ass', 'funny']"
162,162,1,"['get', 'yellow', 'amazing', 'hell', 'yeah']"
163,163,1,"['got', 'time', 'actin']"
164,164,2,"['come', 'stay', 'alive', 'still', 'early', 'bird']"
165,165,1,"['loyal', 'wonder', 'nobody', 'decent']"
166,166,1,"['keep', 'thinking', 'soft', 'ask', 'ya', 'girl', 'many', 'times', 'oh', 'bye']"
167,167,1,"['dry', 'pussy', 'always', 'blame']"
168,168,1,"['shut', 'yo', 'bitch', 'ass']"
169,169,1,"['mane', 'jail', 'dropping', 'every', 'month', 'even', 'text']"
170,170,1,"['love', 'money', 'wrong']"
171,171,1,"['loyal', 'bitch', 'without', 'daddy', 'like', 'finding', 'holographic', 'like']"
172,172,1,"['easy', 'easy', 'fact']"
173,173,1,"['sheen', 'real', 'major', 'respect']"
174,174,1,"['wish', 'bae', 'got', 'tho']"
175,175,1,"['bitch', 'cook']"
176,176,1,['bitch']
177,177,1,"['shut', 'fight', 'good', 'move', 'along']"
178,178,1,"['snake', 'em']"
179,179,1,"['big', 'booty', 'everywhere', 'damn']"
180,180,2,"['stay', 'tuned', 'update', 'report']"
181,181,2,"['play', 'cheat', 'wear', 'khaki', 'haircut', 'yes']"
182,182,1,"['every', 'year', 'get', 'field', 'trash', 'ass']"
183,183,1,"['cowboy', 'best', 'eagle', 'cowboy', 'cried', 'like', 'bitch']"
184,184,0,"['hate', 'black', 'people', 'black', 'people']"
185,185,1,"['could', 'u', 'potent']"
186,186,2,"['lad', 'past', 'would', 'lick', 'dirty', 'soles']"
187,187,2,"['love', 'frat', 'boy', 'soft', 'long', 'soles']"
188,188,2,"['sexy', 'lad', 'hot', 'soles']"
189,189,1,"['fam', 'cheat', 'female', 'feel']"
190,190,2,['got']
191,191,1,"['new', 'twitter', 'go', 'back', 'south', 'bitch']"
192,192,1,"['toto', 'ass', 'think', 'pussy', 'cause', 'toto', 'like', 'nasty', 'pussy']"
193,193,1,"['actually', 'choose', 'ugly', 'bitch', 'ass', 'must']"
194,194,1,"['bitch', 'kill', 'ya', 'dis', 'love']"
195,195,1,"['tired', 'saying', 'look', 'big', 'wear', 'tight', 'grim']"
196,196,2,"['may', 'never', 'thanks', 'climate', 'change']"
197,197,1,['beautiful']
198,198,1,"['gurl', 'hoe', 'still', 'sum']"
199,199,1,"['money', 'getting', 'taller', 'getting']"
200,200,1,"['never', 'seen', 'bitch', 'mine']"
201,201,1,"['stay', 'talking', 'forget', 'meant']"
202,202,0,['least']
203,203,1,"['people', 'always', 'mixed', 'bad', 'bitch']"
204,204,0,"['snake', 'least', 'cripple', 'like', 'hero', 'roach']"
205,205,2,"['home', 'imaginary', 'whoa', 'show', 'everything']"
206,206,1,"['quiet', 'go', 'sleep']"
207,207,1,"['stop', 'weird']"
208,208,1,['love']
209,209,1,"['yo', 'girl', 'cant', 'weak', 'bitch', 'ass']"
210,210,1,"['think', 'worst', 'advice', 'gave', 'pussy', 'speed']"
211,211,1,"['quote', 'tweet', 'favorite']"
212,212,1,"['hate', 'tell', 'ballet', 'pop', 'pussy']"
213,213,1,"['double', 'vision', 'double', 'pussy']"
214,214,1,"['ya', 'ya', 'damn']"
215,215,1,"['nobody', 'takin']"
216,216,2,"['aid', 'white', 'black', 'slander', 'trash']"
217,217,1,"['care', 'play']"
218,218,1,"['took', 'find', 'lime', 'dis', 'bitch', 'da', 'wrong', 'tree']"
219,219,0,"['new', 'glitter', 'fag']"
220,220,2,"['di', 'alone']"
221,221,2,"['teach', 'us', 'teach', 'u', 'get', 'know']"
222,222,1,"['cook', 'know', 'suck', 'dick']"
223,223,1,"['fat', 'get']"
224,224,1,"['well', 'one', 'loyal']"
225,225,1,['bitch']
226,226,1,"['tired', 'cyrus', 'naked', 'bitch', 'aint']"
227,227,1,"['tony', 'game', 'dont', 'mean', 'still', 'bitch', 'bitch']"
228,228,1,"['holy', 'chocolate']"
229,229,1,"['want', 'sex', 'feel', 'like', 'whata']"
230,230,1,"['one', 'bitch']"
231,231,1,"['ya', 'bitch', 'always', 'clearly', 'annoying']"
232,232,1,"['catfish', 'catching']"
233,233,1,"['worry', 'bitch', 'worried', 'bout']"
234,234,1,"['side', 'insecure', 'handle', 'real']"
235,235,1,"['bitch', 'come', 'tent', 'like']"
236,236,1,"['cousin', 'said', 'share', 'said', 'love']"
237,237,1,"['hungry', 'spend', 'money', 'hoe']"
238,238,1,['us']
239,239,1,"['oh', 'yeah', 'bitch']"
240,240,2,"['manning', 'threw', 'interception', 'trash']"
241,241,2,"['senior', 'brown', 'head', 'coach', 'racist', 'quits', 'bitch']"
242,242,1,"['guess', 'also', 'zero', 'time', 'pussy']"
243,243,2,"['chilling', 'sexy', 'lad']"
244,244,1,"['bitch', 'mines', 'mines']"
245,245,1,"['money', 'impress', 'simple', 'broke']"
246,246,1,"['never', 'let', 'people', 'control', 'change']"
247,247,2,"['ho', 'blah', 'blah']"
248,248,2,"['mad', 'ho']"
249,249,1,[]
250,250,1,"['ever', 'slice']"
251,251,1,"['fine', 'tho']"
252,252,1,"['wonder', 'girl', 'gave', 'head', 'drink']"
253,253,1,"['yeah', 'call']"
254,254,1,"['right', 'pussy', 'right']"
255,255,1,"['would', 'still', 'love', 'longer', 'young', 'ugly', 'monkey']"
256,256,1,"['come', 'coming']"
257,257,1,[]
258,258,1,"['work', 'ball', 'work']"
259,259,2,"['lad', 'would', 'get']"
260,260,0,"['yesterday', 'stupid', 'nigger']"
261,261,1,"['still', 'teacher', 'test', 'bitch']"
262,262,1,"['love', 'eating', 'pussy', 'never', 'get', 'full', 'eat', 'forever']"
263,263,1,"['nasty', 'anyway', 'taste', 'like']"
264,264,1,"['nasty', 'anyway']"
265,265,1,"['bobby', 'getting', 'live', 'hell', 'yea', 'play', 'hoe', 'workout']"
266,266,1,"['yo', 'bitch', 'mane', 'bitch', 'stoner']"
267,267,1,"['ride', 'bitch', 'handle']"
268,268,1,"['hoe', 'get']"
269,269,2,"['sad', 'character', 'still', 'bitter', 'stark', 'man']"
270,270,1,"['harbor', 'bus']"
271,271,1,['love']
272,272,1,"['coming', 'little']"
273,273,1,"['way', 'bitch']"
274,274,2,"['smuggler', 'along']"
275,275,1,"['look', 'cute', 'together', 'get', 'bitch']"
276,276,1,"['dont', 'worry', 'exposed', 'fight']"
277,277,1,"['bitch', 'size', 'exactly', 'healthy', 'tho']"
278,278,1,"['bet', 'kim']"
279,279,1,"['damn', 'near', 'protect', 'got', 'dope', 'drive', 'loco']"
280,280,1,"['making', 'aye', 'b', 'like', 'taught']"
281,281,1,"['fag', 'love']"
282,282,1,"['must', 'sike', 'always']"
283,283,2,"['look', 'rally', 'bottom']"
284,284,1,"['take', 'advantage', 'nice']"
285,285,1,"['happy', 'birthday', 'bitch', 'thanks', 'pal']"
286,286,1,"['sad', 'knowing', 'got', 'wait', 'till']"
287,287,1,"['harder', 'wit', 'rich', 'ya']"
288,288,1,"['said', 'last', 'last', 'read']"
289,289,1,"['punch', 'real', 'face', 'cause', 'pussy', 'punch', 'right', 'strong', 'mush']"
290,290,1,"['pussy', 'still', 'something', 'stank']"
291,291,1,"['ass', 'slapping', 'one', 'girl', 'got', 'mad', 'aint', 'get', 'pussy', 'week']"
292,292,1,"['yeah', 'much', 'better', 'see', 'mad']"
293,293,1,"['dark', 'please', 'several', 'like']"
294,294,1,"['lane', 'need', 'stay', 'left', 'n', 'get', 'right', 'face']"
295,295,1,"['hate', 'deny']"
296,296,1,"['ya', 'still', 'saying', 'eat', 'straight']"
297,297,1,"['boss', 'ass', 'needs', 'sit', 'corner']"
298,298,1,['hoe']
299,299,1,"['bout', 'da', 'weekend', 'stay', 'da', 'streets']"
300,300,1,"['hold', 'get', 'locked', 'go', 'college', 'military', 'different']"
301,301,1,"['hate', 'ratchet']"
302,302,1,['love']
303,303,1,"['hot', 'meat', 'sexy', 'would', 'love', 'meet']"
304,304,1,['sniff']
305,305,1,['love']
306,306,1,"['legit', 'watched', 'prob', 'cause', 'retarded']"
307,307,1,"['name', 'pussy']"
308,308,1,"['woof', 'sexy', 'thug', 'boy']"
309,309,1,"['u', 'see', 'damn', 'phone', 'married']"
310,310,1,"['favorite', 'sophomore', 'think', 'really', 'little', 'hoe']"
311,311,1,"['sex', 'u', 'call', 'soul', 'bitch']"
312,312,0,"['supposed', 'sometimes']"
313,313,2,"['one', 'trash', 'another', 'treasure']"
314,314,1,"['got', 'bad', 'thing']"
315,315,0,"['coach', 'feel', 'get', 'nig', 'doubt']"
316,316,1,"['god', 'teeth', 'gold']"
317,317,1,[]
318,318,1,"['call', 'call', 'across', 'known']"
319,319,1,"['miss', 'bitch', 'bus', 'lie']"
320,320,1,"['hate', 'try', 'put', 'bitch', 'score', 'put']"
321,321,2,"['young', 'tried', 'deny', 'bird', 'landed', 'mouth']"
322,322,1,"['gimped', 'bitch', 'huh']"
323,323,2,"['take', 'ride', 'woof', 'woof']"
324,324,1,"['oh', 'god', 'love', 'love']"
325,325,1,"['long', 'distance', 'wack', 'knew', 'bitch', 'oh']"
326,326,1,['right']
327,327,1,"['ban', 'pussy', 'life', 'pay', 'dollar']"
328,328,1,"['red', 'blue', 'know']"
329,329,2,"['sitting', 'window', 'window', 'bird', 'fly']"
330,330,1,"['gon', 'sound', 'retarded']"
331,331,2,"['video', 'entire', 'media', 'likely', 'crybaby']"
332,332,1,"['even', 'shy', 'hi', 'angelique', 'cracker']"
333,333,1,"['got', 'cut', 'every', 'team', 'already', 'got']"
334,334,1,"['karma', 'bitch']"
335,335,1,"['hot', 'gym', 'pussy', 'yeah']"
336,336,2,"['patron', 'airport']"
337,337,1,"['call', 'fireman', 'cause', 'turn']"
338,338,1,"['could', 'never', 'dick', 'got', 'abortion', 'last', 'oh', 'god']"
339,339,1,"['watch', 'try', 'argue', 'like', 'dick', 'actually', 'pussy', 'hate']"
340,340,1,"['smoke', 'weed', 'run']"
341,341,2,"['bird', 'tho']"
342,342,1,"['pussy', 'sweet', 'like', 'watermelon']"
343,343,2,"['twitter', 'trash', 'links']"
344,344,1,"['loud', 'annoy']"
345,345,1,"['eventually', 'every', 'bitch', 'turns']"
346,346,1,"['swear', 'try', 'talking', 'pussy']"
347,347,1,['never']
348,348,1,"['k', 'bye', 'um', 'bye']"
349,349,0,"['retard', 'least', 'make', 'grilled']"
350,350,1,"['keep', 'giving', 'pussy', 'ass', 'ah', 'reason', 'hate']"
351,351,2,"['sole', 'heaven']"
352,352,0,"['dash', 'bitch']"
353,353,1,"['side', 'bitch']"
354,354,1,"['bitch', 'made']"
355,355,1,"['wit', 'us']"
356,356,2,"['actin', 'like', 'day']"
357,357,1,"['break', 'bitch', 'neck', 'even', 'feel', 'sorry', 'savage']"
358,358,1,"['love', 'kinky']"
359,359,1,"['dumb', 'ass', 'weak']"
360,360,1,"['turn', 'yo', 'bitch']"
361,361,1,"['trust', 'told', 'stay', 'screen', 'shot', 'come', 'shoot']"
362,362,1,"['aye', 'tryout', 'bowling', 'team', 'theres', 'two', 'retard']"
363,363,1,"['u', 'got', 'u', 'want', 'bitch', 'enjoy', 'crazy', 'party', 'would', 'love']"
364,364,2,"['colored', 'see']"
365,365,1,"['say', 'got']"
366,366,1,"['rea', 'start', 'smacking', 'period', 'best']"
367,367,1,"['die', 'get', 'cause', 'know', 'sister', 'perfect']"
368,368,1,"['one', 'us', 'still', 'wrong', 'bitch', 'sometimes']"
369,369,1,"['feeling', 'pretty']"
370,370,2,['behind']
371,371,1,"['true', 'ride', 'die', 'bitch']"
372,372,2,[]
373,373,1,"['see', 'bitch', 'ass', 'twitter']"
374,374,1,"['cool', 'cool']"
375,375,1,['sure']
376,376,1,"['twitter', 'source', 'news', 'broadcast', 'keeping']"
377,377,1,"['got', 'couple', 'saying', 'know', 'let', 'money', 'talk']"
378,378,1,[]
379,379,2,"['told', 'also', 'trash']"
380,380,2,[]
381,381,1,"['text', 'give', 'text', 'another', 'damn', 'someone', 'hurt']"
382,382,1,"['got', 'left', 'right', 'yah']"
383,383,1,"['find', 'slope']"
384,384,2,"['fit', 'nice', 'n', 'would', 'get']"
385,385,1,"['hell', 'yeah', 'yeah', 'sexy', 'lad', 'hot', 'gear']"
386,386,1,"['helping', 'love', 'yeah']"
387,387,1,"['love', 'lad', 'hot']"
388,388,1,"['next', 'year', 'like', 'promise', 'expose']"
389,389,1,"['lick', 'bitch', 'eat', 'trainer', 'u', 'dirty']"
390,390,1,"['think', 'celebrity', 'pussy', 'different', 'yeah', 'goods']"
391,391,2,"['saw', 'walk', 'beginning', 'trash', 'even', 'listen']"
392,392,1,"['need', 'love', 'kinky', 'lad', 'rank']"
393,393,1,"['ever', 'expose', 'like', 'bitch']"
394,394,1,['new']
395,395,2,"['dude', 'remember', 'wop', 'find']"
396,396,1,"['thick', 'raw', 'damn', 'man', 'pussy', 'getting']"
397,397,2,"['sexy', 'love', 'sexy', 'woof', 'woof']"
398,398,1,"['life', 'need', 'write', 'ya']"
399,399,1,"['one', 'want', 'burrito', 'u', 'catch']"
400,400,1,"['whole', 'said']"
401,401,1,"['way', 'eat', 'mac', 'boil', 'water', 'snort', 'cheese', 'drink', 'boiling', 'water']"
402,402,1,"['fade', 'perpetually', 'real', 'ass', 'bitch', 'rite']"
403,403,1,"['annoying', 'bitch', 'love']"
404,404,1,"['bitch', 'got']"
405,405,1,"['hi', 'bitch']"
406,406,1,"['look', 'like']"
407,407,1,"['chase', 'money']"
408,408,1,"['stand', 'know', 'ass']"
409,409,1,"['way', 'love', 'sexy']"
410,410,1,"['newly', 'gay']"
411,411,1,"['bitch', 'want', 'real', 'job', 'become']"
412,412,1,"['meat', 'meat', 'n', 'bitch']"
413,413,1,"['want', 'snake', 'industrial', 'hoe']"
414,414,2,"['baby', 'albino']"
415,415,1,[]
416,416,1,"['ordered', 'bitch', 'ate', 'fat']"
417,417,1,"['made', 'bitch', 'love']"
418,418,1,"['soon', 'bitch', 'rich', 'political']"
419,419,1,"['pussy', 'day', 'devil']"
420,420,1,[]
421,421,1,"['want', 'want']"
422,422,1,"['bitch', 'must']"
423,423,1,"['like', 'left', 'bitch', 'street', 'side', 'twitter', 'said', 'real']"
424,424,2,"['like', 'ghetto', 'use', 'something', 'else']"
425,425,1,"['wee', 'cos', 'emma', 'pussy', 'n']"
426,426,1,[]
427,427,1,"['bando', 'wit']"
428,428,2,['love']
429,429,1,"['need', 'bad', 'bitch', 'hotter', 'might', 'realist', 'ever', 'everyday']"
430,430,1,"['way', 'punch']"
431,431,1,"['much', 'bitch', 'start', 'ape']"
432,432,2,"['communicating', 'comrade', 'u', 'know', 'giving', 'imperialist']"
433,433,1,"['say', 'hi', 'duces']"
434,434,1,"['believe', 'fact', 'disagree', 'believe', 'fact']"
435,435,1,"['know', 'ugly', 'know', 'broke']"
436,436,1,"['make', 'make', 'fall', 'live', 'like', 'favorite']"
437,437,0,"['worry', 'worry', 'da', 'yo']"
438,438,1,"['ever', 'give', 'pussy', 'keep']"
439,439,1,"['stack', 'cause', 'bitch']"
440,440,1,['dumb']
441,441,1,"['pussy', 'like', 'real']"
442,442,1,['go']
443,443,1,"['look', 'better', 'bitch', 'next']"
444,444,1,"['hoe', 'ass', 'like']"
445,445,1,"['every', 'bad', 'bitch', 'tired']"
446,446,1,"['man', 'bitch']"
447,447,1,"['need', 'clean', 'working', 'see', 'team']"
448,448,1,"['make', 'suck', 'dragon', 'bitch', 'call']"
449,449,2,"['ascii', 'see', 'ability', 'bring', 'node', 'via', 'ascii', 'bird']"
450,450,1,"['bitch', 'fine']"
451,451,1,"['ass', 'back', 'ya']"
452,452,1,"['mad', 'unless', 'love']"
453,453,1,"['know', 'twitter', 'bitch', 'please']"
454,454,1,"['seen', 'seen', 'hot', 'would']"
455,455,1,['bitch']
456,456,1,"['married', 'white', 'lucky', 'uncle', 'ruckus']"
457,457,1,"['account', 'funny', 'ass', 'bitch', 'real']"
458,458,1,"['great', 'long', 'line', 'carl', 'everyone']"
459,459,0,"['go', 'look', 'video', 'man', 'found']"
460,460,1,"['pussy', 'still']"
461,461,2,"['draft', 'send', 'war', 'show']"
462,462,1,['hotter']
463,463,1,"['u', 'talking', 'bout', 'n', 'talking', 'bout', 'n']"
464,464,1,['crazy']
465,465,1,"['know', 'dirty', 'one', 'first', 'look', 'dog']"
466,466,2,"['thrill', 'hillbilly']"
467,467,1,['call']
468,468,1,"['handle', 'handle', 'chief']"
469,469,1,"['chase', 'chase']"
470,470,1,"['love', 'baby']"
471,471,1,"['dont', 'even', 'need', 'picture', 'bitch', 'beat', 'every']"
472,472,1,['dont']
473,473,2,"['found', 'new', 'way', 'chug', 'open', 'mouth']"
474,474,1,"['hate', 'bitch', 'much', 'smack', 'face', 'tongue', 'kiss']"
475,475,1,"['got', 'bitch', 'set', 'like', 'riding', 'round', 'bitch']"
476,476,1,"['got', 'told', 'stop', 'calling']"
477,477,1,"['guess', 'night']"
478,478,1,"['bitch', 'bitch', 'eating']"
479,479,1,"['still', 'bang', 'sex', 'probably']"
480,480,1,"['looking', 'candy']"
481,481,1,"['hope', 'get', 'call', 'know']"
482,482,1,"['got', 'number', 'bitch']"
483,483,1,"['know', 'either', 'girl', 'sold', 'know']"
484,484,1,"['older', 'men', 'cause', 'supposed', 'fool', 'us']"
485,485,1,"['leave', 'bitch', 'hand', 'yo', 'hand']"
486,486,1,"['said', 'like', 'like', 'wolf', 'even', 'know']"
487,487,1,"['taught', 'eat', 'cut', 'taught', 'eat', 'pussy', 'movie']"
488,488,1,"['used', 'dress', 'like', 'cop', 'never']"
489,489,1,"['went', 'jail', 'came', 'home', 'wit', 'went', 'jail', 'came', 'home']"
490,490,1,"['u', 'u', 'dizzy', 'two', 'unique', 'separate', 'relative', 'saying']"
491,491,1,"['woke', 'like', 'bitch', 'go', 'back', 'bed']"
492,492,1,"['would', 'rather', 'call', 'bitch', 'manager']"
493,493,1,"['beat', 'pussy']"
494,494,2,['slit']
495,495,1,"['funky', 'ass', 'shout', 'tonight']"
496,496,1,[]
497,497,1,"['new', 'personality', 'new', 'love', 'rose', 'yelling', 'sex', 'robot']"
498,498,1,"['like', 'surround', 'miss']"
499,499,1,"['piss', 'dimple', 'stop', 'wasting', 'trash']"
500,500,1,"['probably', 'main', 'bitch', 'chocolate', 'dipped', 'cinnamon']"
